,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
adj_113,0.19443790877119793,0.45675286768466317,0.03608955704413697,0.02753198506477222,0.009509246412366978,0.039869914158586206,0.07073816153857873,0.10152621880630276,0.009864205376137409,0.05367993514325777
adj_114,0.21543588845198489,0.4463302269476147,0.028622860431841823,0.033229985010623284,0.009677026150648313,0.04225634961927322,0.06511105192481904,0.1044552254493017,0.010078643275474395,0.044802742738418805
adj_115,0.06573233756081534,0.46300583737013984,0.03534753573090623,0.07613690543604143,0.03487870958721149,0.04873524517508077,0.0010000615118316888,0.16559855003100635,0.0010000009734825255,0.10856481662348431
adj_116,0.19743687547663613,0.4314521954353794,0.018762014578155493,0.05064315511315971,0.018173006185656735,0.06815465462656146,0.06705398408009683,0.09383979130878792,0.0190777302392733,0.03540659295629314
adj_117,0.4537079787568522,0.25366389913457593,0.07912106620938086,0.0386791602583753,0.0009433962281649937,0.0009434166685033404,0.07801258680504032,0.08358863917061908,0.0009433962278566047,0.010396460540631485
adj_118,0.1247897726771643,0.21262479361446432,0.00990766959937033,0.051702305250530704,0.0009009050661646119,0.05155818981658692,0.06411597430945774,0.15403533382158588,0.009911075206009775,0.3204539806386654
adj_119,0.20058046519755218,0.49454012613762816,0.019289848262433698,0.012885514985944717,0.018648372352466455,0.06068530056227536,0.07802025418995488,0.08664051371733697,0.010104241434785454,0.01860536315962211
adj_120,0.1907632681795673,0.4841878455915439,0.01874222164812545,0.016954439164514317,0.009675050501358744,0.04919942743266804,0.05274884195832961,0.12382735421827132,0.01019550248517331,0.04370604882044813
adj_121,0.04525765177689911,0.4130548571749809,0.03247707433836208,0.05697529434573217,0.03229166206708644,0.09515296507649552,0.001041727185659499,0.2055072581866453,0.0010419690251068417,0.11719954082303204
adj_122,0.37764850375714654,0.18249875541986005,0.03863297809214382,0.09786072582432247,0.0009091023934197827,0.033936385542286306,0.05854503128976359,0.08155460879172302,0.10007309415310929,0.028340814736225045
adj_123,0.43211393070066706,0.18361626382235235,0.04973100457369765,0.057817509518096354,0.0009615599512640313,0.02769974767976533,0.06514589896342948,0.1070265072595324,0.07492602898855137,0.000961548542643985
adj_124,0.055237290625617885,0.4795209230167375,0.050698198588975264,0.046488184121678634,0.021428462728469183,0.047746606865761064,0.012982058532607609,0.1803107763332414,0.0010204082929961514,0.10456709089391521
adj_125,0.34882288731614247,0.1816729224524243,0.14390925978525987,0.09757919277223125,0.04192036244120545,0.08861311045639393,0.0010204499655590087,0.06373694903174378,0.021427691283511525,0.01129717449552845
