,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
sample_77,0.02500000000581926,0.5249999271375402,0.025003349281257553,0.025000000009361478,0.025000000009402265,0.02500000001073173,0.025003692775275452,0.0250000000089921,0.2749930307491132,0.025000000012506754
sample_78,0.5250017399157276,0.02500000005712084,0.025000000043239892,0.025000000106190214,0.0250000001063992,0.02500000012161406,0.27499825931817784,0.025000000101999806,0.025000000087760276,0.025000000141770225
sample_79,0.01250000000228814,0.01250000000197934,0.14088061361421392,0.012501336126317535,0.012500000003695132,0.7591180502379907,0.012500000002002841,0.012500000003543186,0.012500000003049459,0.012500000004919767
sample_80,0.03333333333552652,0.033333333335230114,0.033333333334771696,0.033334805877823614,0.03333333333687385,0.033333333337374815,0.033335236471324,0.03333333333674858,0.6999966242962791,0.033333333338047666
sample_81,0.5249979212575051,0.025001743734014533,0.025002886824503766,0.02500000003045475,0.2749974479250594,0.025000000034863096,0.025000000098420145,0.025000000029269644,0.02500000002521259,0.025000000040696885
sample_83,0.05000000000256675,0.050000000002219595,0.05000000000168142,0.05000000000412446,0.05000000000414161,0.0500000000047289,0.54999999996763,0.050000000003969265,0.050000000003418255,0.050000000005519615
sample_84,0.03333333335432208,0.03333333335148221,0.03333333334709255,0.36666656250223617,0.03333333336727103,0.03333333337199682,0.03333333335171866,0.03333333336579384,0.3666667706096091,0.03333333337847751
sample_85,0.011111111116603468,0.011111402762032001,0.011111985468024747,0.12222097961844408,0.011111793948397062,0.7888847393145838,0.011112655995184292,0.011111115395994239,0.011113105257598394,0.011111111123138163
sample_86,0.01111184000926527,0.01111111111654573,0.12221791610854098,0.011112428463473429,0.011112918254005814,0.011113946498118242,0.01111111111661245,0.011112478420512587,0.011111450202987495,0.7888847998099381
sample_87,0.020000000011319928,0.020000000009785295,0.5976931316691958,0.020000578746864114,0.020000000018267475,0.020000212743569994,0.2423060767275112,0.020000000034080832,0.020000000015088,0.02000000002431743
sample_88,0.02000000000687763,0.02000000000593954,0.020000000004499748,0.0200045723206119,0.020002288456270285,0.6199931008061603,0.22000003836515158,0.020000000010612785,0.020000000009135887,0.02000000001474033
sample_89,0.025000000015498472,0.025000000013405067,0.02500000001015212,0.02500000002492595,0.025000000025020282,0.025000000028551655,0.2750001878644255,0.27499933890646305,0.025000000020658057,0.2750004730908999
sample_90,0.033333333341414466,0.03333333334057331,0.3666587807783007,0.3666667810213877,0.0333333333464114,0.03333333334823036,0.03333876227084354,0.03333333334583435,0.033333333344105064,0.03333567586289912
sample_91,0.0033333333337685358,0.003333333333709493,0.9699998354774109,0.0033334453035900654,0.003333348297779001,0.0033333333341346713,0.0033333709145457542,0.0033333333340059427,0.003333333336787165,0.0033333333342684926
sample_92,0.24198259543898507,0.007692525141607161,0.007695610451751652,0.6195545764898701,0.007692766059330187,0.00769230771557448,0.0846099403869366,0.007692307711812646,0.007695062884736749,0.007692307719395413
sample_93,0.03333333333978338,0.03333333333890995,0.6999733722704503,0.03333608710991939,0.03333333334375107,0.033333333345213934,0.03333333333898229,0.033333333356852055,0.033357207208942745,0.03333333334719486
sample_94,0.006666666669764955,0.006667527355042991,0.10869680662262124,0.6500990326212966,0.0066669907728229135,0.06504693885756238,0.00666711106742159,0.006666733398778019,0.1361555259613619,0.006666666673327297
sample_95,0.020000000016212906,0.02000000001402258,0.020006229075085848,0.42000047294790066,0.02000000002618325,0.02000000002987599,0.21999552803231578,0.020000000030335204,0.219997769793191,0.02000000003487681
sample_97,0.008333443488526026,0.008340386191738514,0.3488393462465062,0.008333333349098096,0.008335432462918346,0.008333372426057804,0.5844824578461162,0.008334207990079988,0.008334686644819326,0.008333333354139669
sample_98,0.025000000054093367,0.025000000046716344,0.3380742927236592,0.025000000087099978,0.025000000087277534,0.025000000099496465,0.02500529928057467,0.025000000083543816,0.46192040742134044,0.02500000011619817
sample_99,0.03333333335103459,0.6999999997758721,0.03333333334497562,0.03333333336183197,0.033333333362024174,0.0333333333661998,0.03333333334890331,0.033333333360733144,0.03333333335700323,0.033333333371422184
sample_100,0.012500000017522047,0.1391100912746485,0.7608892680419345,0.012500161892736025,0.012500000028281668,0.01250047864149701,0.012500000015327402,0.01250000002707713,0.01250000002333051,0.012500000037645316
sample_102,0.01000000000318457,0.010000000002754151,0.23632401354477373,0.010001344316038644,0.010000000005141304,0.010000000005866427,0.010000179420314935,0.010000436794353888,0.6836740259007281,0.010000000006844307
sample_103,0.033333333334311294,0.03333333333417872,0.6999976157540548,0.0333357175683066,0.033333333334910835,0.03333333333513401,0.03333333333418903,0.03333333333484499,0.03333333333463492,0.03333333333543473
sample_104,0.020000000105721057,0.020000000013195882,0.02000000000999739,0.21999895277049236,0.02000000002462144,0.020000000028128188,0.020000000013340832,0.6200010469813645,0.020000000020327712,0.020000000032810612
sample_105,0.011111111118157515,0.011111111117214804,0.8999931843279859,0.011111111122462724,0.011111111122490809,0.01111133632571961,0.01111482534529329,0.011111111122015866,0.011113987272396687,0.011111111126262861
sample_106,0.3667047387997201,0.03333333334145341,0.033340940544530864,0.3666209872263823,0.033333333348489515,0.03333333335063353,0.03333333334155858,0.033333333347853746,0.033333333345842056,0.03333333335353597
